sport,season,competition_name,event_i_d,event_name_short,event_gender,competition_date,name,person_i_d,person_age_days,country,rank,snatch1,snatch1_success,snatch2,snatch2_success,snatch3,snatch3_success,cj1,cj1_success,cj2,cj2_success,cj3,cj3_success,total
Weightlifting,2024,Phuket,200017522,55kg ,Women,2024-04-01,GALLANT Josee,2323545,11593.0,CAN,4.0,85,False,85,True,90,False,105,True,109,False,109,True,194
Weightlifting,2024,Phuket,200017522,55kg ,Women,2024-04-01,SIDEK Liyana Safiah,2356976,10663.0,BRU,12.0,57,True,59,False,60,False,70,False,70,True,73,True,130
Weightlifting,2024,Phuket,200017522,55kg ,Women,2024-04-01,CHUA Jiin Linn,2408839,9226.0,SGP,11.0,63,True,66,True,69,False,85,True,89,True,91,False,155
Weightlifting,2024,Phuket,200017522,55kg ,Women,2024-04-01,RODRIGUEZ Isabella Mia,2481725,7387.0,USA,8.0,72,True,75,True,78,True,98,True,102,True,105,False,180
Weightlifting,2024,Phuket,200017522,55kg ,Women,2024-04-01,HU Chia Chi,2521186,7858.0,TPE,6.0,80,False,80,True,84,False,106,True,109,False,110,False,186
Weightlifting,2024,Phuket,200017522,55kg ,Women,2024-04-01,HAENGNAMCHOT Panadda,2521187,7334.0,THA,9.0,72,True,75,True,78,False,94,True,97,True,100,True,175
Weightlifting,2024,Phuket,200016429,64kg ,Women,2024-04-05,RIM Un Sim,1163345,10136.0,PRK,1.0,111,False,111,True,114,True,140,True,144,True,147,False,258
Weightlifting,2024,Phuket,200016429,64kg ,Women,2024-04-05,LANGAT Winny Chepngeno,1454402,13178.0,KEN,10.0,65,True,68,False,68,False,85,False,86,True,88,False,151
Weightlifting,2024,Phuket,200016429,64kg ,Women,2024-04-05,SAMULIAK Svitlana,1645576,7566.0,UKR,3.0,98,True,101,False,101,True,116,True,120,True,122,False,221
Weightlifting,2024,Phuket,200016429,64kg ,Women,2024-04-05,RI Suk,1792066,7692.0,PRK,2.0,108,True,113,False,113,False,140,True,147,False,147,False,248
Weightlifting,2024,Phuket,200016429,64kg ,Women,2024-04-05,BARRY Gillian,2036439,8867.0,IRL,7.0,78,False,78,False,78,True,92,True,96,True,100,True,178
Weightlifting,2024,Phuket,200016429,64kg ,Women,2024-04-05,MCINTYRE Emma,2092602,11935.0,NZL,6.0,83,False,83,True,87,True,103,True,107,True,110,True,197
Weightlifting,2024,Phuket,200016429,64kg ,Women,2024-04-05,THORNTON Tenishia,2092659,6791.0,MLT,5.0,84,True,87,True,90,True,105,True,109,True,111,True,201
Weightlifting,2024,Phuket,200016429,64kg ,Women,2024-04-05,NICOLE HENG Lin Li,2328107,10672.0,SGP,8.0,70,True,75,False,76,True,90,True,94,True,96,False,170
