name,country,snatch1,snatch2,snatch3,cj1,cj2,cj3,total,snatch1_success,snatch2_success,snatch3_success,cj1_success,cj2_success,cj3_success
KITTS Wesley Brian,USA,0,0,0,0,0,0,0,False,False,False,False,False,False
GARCES FRANCO Oscar Andres,COL,165,165,170,0,0,0,0,False,False,False,False,False,False
SALEM Yasser Usama Hemdan Mohamed,EGY,170,170,170,0,0,0,0,False,False,False,False,False,False
HOFMANN Matthaeus Klaus Lorant Georg,GER,170,0,0,0,0,0,0,False,False,False,False,False,False
KASABIJEW Arsen,POL,162,0,0,0,0,0,0,False,False,False,False,False,False
JIN Yunseong,KOR,175,178,178,0,0,0,0,False,False,False,False,False,False
ELBAKH Fares Ibrahim E. H.,QAT,0,0,0,0,0,0,0,False,False,False,False,False,False
SUMPRADIT Sarat,THA,172,172,173,0,0,0,0,False,False,False,False,False,False
CHEN Po-Jen,TPE,176,178,178,0,0,0,0,False,False,False,False,False,False
DJURAEV Akbar,UZB,180,185,189,220,227,0,416,True,True,True,True,True,False
DADASHBAYLI Dadash,AZE,171,177,181,205,211,0,388,True,True,False,True,True,False
AMRIDDINOV Sharofiddin,UZB,170,176,176,195,203,208,378,True,False,False,True,True,True
LOMTADZE Zaza,GEO,160,165,170,202,202,209,379,True,True,True,False,True,True
MEIRAM Sultan,KAZ,140,150,155,180,190,195,340,True,True,False,True,True,False
VIERA ESPINOZA Hernan Moises,PER,145,150,155,205,205,210,360,True,True,False,False,True,True
MA Ching-Chieh,TPE,140,150,150,180,190,190,330,True,False,True,True,False,False
CHANDLER Liam,RSA,133,138,140,152,153,157,286,True,False,False,False,True,False
LALAYAN Varazdat,ARM,205,210,215,243,253,0,463,True,True,False,True,True,False
DAVOUDI Ali,IRI,195,200,202,240,252,0,454,True,False,True,True,True,False
SHARIFIKELARIJANI Ayat,IRI,184,192,201,230,246,252,447,True,True,True,True,True,False
BIDANI Walid,ALG,190,197,202,216,220,229,426,True,True,False,False,True,True
MARTIROSYAN Simon,ARM,195,202,202,245,253,253,440,True,False,False,True,False,False
RUBAIAWI Ali Ammar Yusur,IRQ,195,195,199,232,0,0,427,False,True,False,True,False,False
MURAKAMI Eishiro,JPN,185,190,192,232,232,237,0,True,True,False,False,False,False
CHINEN Kosuke,JPN,188,191,191,218,234,235,0,True,False,False,False,False,False
JO Seongbin,KOR,183,187,190,220,230,0,407,False,True,False,True,False,False
LITI David Andrew,NZL,175,181,185,228,228,0,0,True,True,False,False,False,False
MAO Sanele,SAM,180,180,185,225,225,234,0,False,True,False,False,False,False
SEIM Mart,EST,180,180,185,0,0,0,0,False,True,False,False,False,False
KUWORGE Enzo Kofi,NED,175,179,182,225,235,0,404,True,True,False,True,False,False
KUCERA Kamil,CZE,176,184,185,220,222,229,398,True,False,False,False,True,False
DONG Bing-Cheng,TPE,172,176,178,210,216,216,388,True,False,False,True,False,True
WILKES Caine Morgan,USA,170,175,175,208,214,221,384,True,False,False,True,True,False
TOYCHYYEV Hojamuhammet,TKM,170,174,174,210,213,216,383,True,False,False,True,True,False
MEDINA Alejandro Jose,USA,170,175,178,200,210,221,380,True,False,False,True,True,False
MEDINA ANDUEZA Josue Said,MEX,163,167,168,200,205,207,375,True,False,True,True,False,True
LITVINOV David,ISR,167,172,172,205,210,215,377,True,False,False,True,True,False
COULLET Anthony Jean Pierre,FRA,159,164,169,210,228,228,0,True,True,False,False,False,False
LEMUS CALANCHE Gilberto Antonio,GUA,163,163,168,190,195,196,353,False,True,False,True,False,False
PANYA Rungsuriya,THA,152,156,160,202,207,208,358,True,True,False,True,False,False
EVERETT Quinn Ivan Clark,CAN,150,155,160,190,190,195,350,True,True,False,False,True,True
BOUAMR Bilal,MAR,147,152,156,185,190,192,342,True,True,False,False,True,False
BHANDARI Sagar,NEP,127,134,136,165,172,175,306,True,True,False,True,True,False
ALNAJJAR M Moayad M,UAE,170,171,171,0,0,0,0,False,False,False,False,False,False
ZIAZIULIN Eduard,AIN,200,200,201,0,0,0,0,False,False,False,False,False,False
ELSAYED Abdelrahman Mohamed A. A.,EGY,0,0,0,0,0,0,0,False,False,False,False,False,False
TALAKHADZE Lasha,GEO,0,0,0,0,0,0,0,False,False,False,False,False,False
KAJDOCI Tamas,SRB,0,0,0,0,0,0,0,False,False,False,False,False,False
NAGY Peter,HUN,0,0,0,0,0,0,0,False,False,False,False,False,False
MINASYAN Gor Tigran A.,BRN,0,0,0,0,0,0,0,False,False,False,False,False,False
KAGISO Bokang Alphius,BOT,0,0,0,0,0,0,0,False,False,False,False,False,False
ASAAD Man,SYR,0,0,0,0,0,0,0,False,False,False,False,False,False
WON Hyon Sim,PRK,80,85,87,100,106,109,196,True,True,True,True,True,True
KHONG My Phuong,VIE,72,74,76,84,86,86,160,True,True,True,True,False,False
PRAMONGHKHOL Siriwimon,THA,73,73,75,90,96,101,176,False,True,True,True,True,True
NGUYEN Thi Hoai,VIE,68,70,72,85,85,85,0,True,True,True,False,False,False
KAMNOEDSRI Khemika,THA,67,69,71,82,86,86,153,True,True,True,True,False,False
HONG Zi-Yu,TPE,68,68,68,86,86,86,0,False,False,True,False,False,False
ISMAYILOVA Nazila,AZE,55,60,60,65,69,72,127,True,False,False,True,False,True
HOU Zhihui,CHN,93,97,99,113,120,120,217,True,True,False,True,False,True
RI Song Gum,PRK,91,95,97,120,124,126,221,True,True,True,True,True,False
JIANG Huihua,CHN,90,94,94,114,120,123,208,True,False,True,True,False,False
SUKCHAROEN Thanyathon,THA,88,91,93,0,0,0,0,True,True,False,False,False,False
LOPEZ FERRER Ana Gabriela,MEX,84,87,88,100,104,104,187,True,True,False,True,False,False
RAMOS Rosegie,PHI,85,87,87,103,103,105,190,True,False,True,False,True,False
KHAMBAO Surodchana,THA,85,88,88,106,109,111,194,True,False,False,True,True,False
SUZUKI Rira,JPN,83,85,87,107,110,112,197,True,True,False,True,True,True
ECHANDIA ZARATE Katherin Oriana,VEN,81,83,85,102,106,108,193,True,True,True,True,True,True
IMPERIO Giulia,ITA,85,85,85,104,104,104,0,False,False,True,False,False,False
AISAH Windy Cantika,INA,80,80,84,100,100,105,184,False,True,True,False,True,False
FANG Wan Ling,TPE,82,84,85,102,104,108,192,True,True,False,True,True,True
MIRABAI Chanu Saikhom,IND,75,79,81,98,103,106,184,True,True,True,True,True,False
ORTIZ Dahiana,DOM,81,83,83,105,111,111,186,True,False,False,True,False,False
KLARISA Juliana,INA,77,80,82,102,102,102,0,True,True,False,False,False,False
PHAM Dinh Thi,VIE,77,77,80,97,100,102,180,False,True,True,True,True,False
INAN Lovely,PHI,79,79,82,101,101,0,0,False,True,False,False,False,False
DE LA HERRAN MARTINEZ Andrea,MEX,78,81,81,95,95,100,173,True,False,False,False,True,False
PANFILOVA Jamila,UZB,77,80,80,93,95,95,170,True,False,False,True,False,False
MEGO CONTRERAS Shoely Mabel,PER,77,77,79,97,97,100,174,False,True,False,False,True,False
RANDAFIARISON Rosina,MAD,75,75,77,95,100,100,172,False,True,True,True,False,False
BOMIRIYAGE GOMAS Dinusha Hansani,SRI,72,76,79,85,90,90,161,True,True,False,True,False,False
TOUA Loa Dika,PNG,73,75,77,96,96,96,171,True,True,False,False,False,True
ABDYKALYKOVA Ainur,KAZ,65,69,72,81,85,88,160,True,True,True,True,True,True
NGUYEN Tham,IRL,70,70,73,91,94,96,166,False,True,False,True,False,True
ALICI Duygu,TUR,70,70,70,85,90,0,160,False,False,True,True,True,False
FAJRESLAM Maha,MAR,65,65,65,80,85,86,145,False,False,True,True,False,False
LIN Cheng Jing,TPE,82,82,82,0,0,0,0,False,False,False,False,False,False
AJIMA Chiaki,JPN,81,81,83,103,103,103,0,False,False,False,False,False,False
PIRON CANDELARIO Beatriz Elizabeth,DOM,0,0,0,0,0,0,0,False,False,False,False,False,False
SHIN Jaegyeong,KOR,81,81,82,100,103,103,0,False,False,False,True,False,False
KEAN Brenna Mae,AUS,72,74,74,0,0,0,0,False,False,False,False,False,False
KANG Hyon Gyong,PRK,96,101,103,120,131,0,234,True,True,True,True,True,False
CAMBEI Mihaela-Valentina,ROU,88,91,93,103,108,110,201,True,True,False,True,True,True
GALLANT Josee,CAN,85,85,90,105,109,109,194,False,True,False,True,False,True
YODSARN Poisian,THA,81,84,87,100,100,100,184,True,True,False,False,False,True
ABDULLAEVA Nigora,UZB,83,86,86,102,105,109,188,True,False,False,True,True,False
SOROKHAIBAM Bindyarani Devi,IND,83,83,86,110,113,119,196,False,True,False,True,True,False
HU Chia Chi,TPE,80,80,84,106,109,110,186,False,True,False,True,False,False
WINI Jenly Tegu,SOL,74,78,80,95,100,102,175,True,True,True,True,False,False
RODRIGUEZ Isabella Mia,USA,72,75,78,98,102,105,180,True,True,True,True,True,False
HAENGNAMCHOT Panadda,THA,72,75,78,94,97,100,175,True,True,False,True,True,True
CHUA Jiin Linn,SGP,63,66,69,85,89,91,155,True,True,False,True,True,False
SIDEK Liyana Safiah,BRU,57,59,60,70,70,73,130,True,False,False,False,True,True
DELACRUZ Jourdan Elizabeth,USA,0,0,0,0,0,0,0,False,False,False,False,False,False
KIM Il Gyong,PRK,102,106,108,125,132,132,240,True,True,True,True,False,True
LUO Shifang,CHN,103,108,108,133,140,140,248,True,False,True,True,False,True
CHARRON Maude G,CAN,100,103,106,125,129,130,236,True,True,True,True,False,True
PEI Xinyi,CHN,103,107,107,130,134,134,233,True,False,False,True,False,False
VENEGAS VALERA Anyelin Maria,VEN,98,101,103,120,124,126,229,True,True,True,True,True,True
RODRIGUEZ GOMEZ Genesis Lourdes,VEN,99,102,104,122,122,126,0,True,True,False,False,False,False
LAWAL Rafiatu Folashade,NGR,96,101,101,121,126,128,227,True,False,True,True,True,False
TCHAKOUNTE Dora Meiriama,FRA,95,98,101,115,120,123,224,True,True,True,True,True,True
